	Myeloid.cells	T.NK.cells	B.lymphocytes	Fibroblasts	Endothelial.cells	MAST.cells	Epithelial.cells
AGER	0.021588384	0.006635815	0.008962997	0.031715878	0.021461745	0.009021051	1.174048551
AGR2	0.108058892	0.053106985	0.088293229	0.101590994	0.10348889	0.048882878	7.794191662
AGR3	0.090216035	0.043071585	0.058610139	0.084088708	0.03737626	0.030814178	6.999397958
AHR	0.557201388	0.081170448	0.040794013	0.46413047	0.702827992	0.499258066	2.141198968
AIF1	11.26450201	0.083086363	0.093842044	0.12408287	0.13540906	0.118160333	0.301587006
AK1	0.103573408	0.040137459	0.03338078	0.899034447	0.728301708	0.019198743	3.558595274
AKNA	0.179925662	0.343108461	0.164256244	0.08676137	0.051437541	0.152165024	0.161728322
AL928768.3	0.017878345	0.006401985	1.265022807	0.011256113	0.007561474	0.003971213	0.072191093
ALDH1A1	0.904047848	0.007612663	0.012121501	0.94259597	0.391080739	0.510203457	0.381557027
ALDH2	4.279906103	0.02650859	0.109241114	1.411675477	0.937258442	0.091670655	2.145338928
ALG13	0.336708646	0.208161937	0.368929843	0.163901712	0.253477664	0.506216748	0.359873846
ALOX5	1.529845566	0.008791037	0.108044483	0.020206703	0.009743123	0.630255997	0.082445334
ALOX5AP	8.397716334	1.185791577	0.388462415	0.166161239	0.136121189	2.849052945	0.346189073
ANAPC11	1.7628976	0.380491443	0.523527746	1.683920563	1.142194671	0.435356217	4.920042168
ANKRD12	0.922095138	0.812463795	0.827839029	0.718338271	0.881175236	0.356368877	1.007252947
ANKRD28	0.517040127	0.167756445	0.608983985	0.178016975	0.413871472	0.974748008	0.616154481
ANKRD44	0.293195205	0.241511606	0.372725061	0.070953263	0.086686551	0.130047517	0.215604673
ANXA1	6.253907268	2.347169538	0.217893363	3.196780738	2.193355001	9.132076751	6.358020148
ANXA2	12.06153531	0.645457285	0.644420474	5.124578088	6.007052192	0.192986371	9.405899643
ANXA5	4.803673405	0.395226896	0.322875957	3.196962485	1.735064445	0.366527318	1.562991931
AP1S2	1.880429922	0.14290279	0.185522951	0.256197309	0.798960732	0.781747259	0.278458526
AP2S1	5.021709408	0.321553764	0.36830548	1.607753774	2.063003882	0.397880821	1.933694399
APLP2	2.495756462	0.124335834	0.146222302	1.470186385	1.463160353	0.198385642	6.360935296
APOBEC3G	0.237369921	0.592549337	0.24000052	0.144054736	0.09239686	0.0585946	0.072685029
APOC1	50.73486414	0.275373304	0.434099106	0.844839699	0.850605961	1.564505595	1.337118161
APOD	0.01057061	0.004242972	0.009914975	1.769339334	0.564723852	0.003580299	0.451902395
APOE	58.72356487	0.298929521	0.472711809	7.710553413	1.278837466	2.011191258	1.796091846
APP	0.385855728	0.036238556	0.077988254	1.523715969	4.426151943	0.00834031	1.600977151
AQP1	0.027121364	0.007195789	0.011122927	0.243080203	6.263901409	0.006373594	1.955087997
AQP3	0.576255985	0.248944326	0.178520221	0.243338673	0.062086157	0.11619302	5.454487433
AQP5	0.012617951	0.007700085	0.012024356	0.022981048	0.002681058	0.001845004	1.625596131
AREG	1.499612407	0.261683782	0.445035784	0.297450747	0.178621219	1.494089971	6.944571381
ARHGAP18	1.398476581	0.081509759	0.055678407	0.179593808	1.290702481	0.646461137	0.256751735
ARHGAP29	0.005916881	0.001067493	0.000628307	0.319822877	2.451414457	0.048059714	0.48514192
ARHGDIB	5.574010913	3.365842021	2.021964238	1.086341313	2.592200601	3.32256366	2.767851232
ARHGEF1	0.239465767	0.352764816	0.198871817	0.135055622	0.346487674	0.082164071	0.498471226
ARHGEF6	0.16181414	0.068162439	0.039330875	0.049427657	0.060797552	0.368205426	0.032699379
ARID4B	0.563194691	0.60892474	0.424253437	0.700842169	0.872702143	0.380722956	1.221361648
ARID5B	0.378618372	0.591186514	0.714382545	1.450673975	0.508319046	0.073442912	0.698852694
ARL4C	1.534448099	0.728850666	0.1709814	0.305801672	0.202244624	0.110546045	0.529814839
ASAH1	5.067452265	0.119552275	0.310068535	0.9034463	0.506061657	1.566433554	3.216892888
ASPH	0.312280318	0.024102929	0.056019827	0.570281925	0.366055295	0.017997563	2.057031377
ASPN	0.003700223	0.00140088	0.002561228	2.311069999	0.000648939	0	0.007742871
ATF3	1.208458179	0.07404252	0.178523117	2.032634686	0.651723123	0.214443067	2.713533733
ATP1B1	0.784182686	0.069530215	0.069148767	0.341363132	0.103519908	0.206629702	6.401318201
ATP6V0B	4.615123262	0.308013761	0.696421077	1.165611267	0.864024062	0.774409287	2.234291545
ATP6V1F	6.294386322	0.450244828	0.708543585	1.196316761	1.303817446	1.58541058	3.063923059
B2M	137.5028701	61.8716481	57.15919248	55.04052995	88.03461303	47.46843667	44.46893753
BACE2	0.050377546	0.002438438	0.033168336	0.30395631	0.653980883	0.533770514	0.581140603
BANK1	0.053668222	0.003511833	0.782978301	0.014567231	0.006252774	0.003333881	0.061778665
BCAM	0.023027473	0.011789879	0.007161743	0.219730158	2.329690152	0.017120065	2.33436504
BCL2A1	3.387051028	0.109381267	0.499305868	0.0365045	0.048210157	0.901635785	0.120407834
BEX4	0.595361762	0.070994521	0.073800355	0.419890335	0.313680099	0.590110128	0.542408582
BGN	0.035896852	0.011717319	0.01793861	16.66387491	1.58814971	0.017641929	0.053118625
BHLHE40	1.079084598	0.239161498	0.131997099	0.521238877	1.240596668	1.030767527	1.116265872
BIN2	0.383679277	0.364862642	0.172279193	0.021136402	0.014113508	0.181720622	0.034715066
BIRC3	1.242191295	1.06929127	1.151313669	0.483890112	0.505602473	2.490824377	1.088144463
BRI3	4.807823328	0.108635042	0.142028346	1.118709993	1.545674356	0.098281582	5.728913124
BST2	2.118258007	0.428404789	0.616929293	1.189646659	3.611397903	1.097344371	1.952585375
BTG1	8.733699834	10.05468769	8.64346618	3.608081731	5.223449492	2.592691892	4.547581454
BTG2	0.91505023	0.758374541	1.53047815	1.55953919	0.821112502	1.532018468	1.656365338
BTK	0.399185936	0.003907234	0.184762729	0.007723535	0.00800355	0.592253414	0.017093772
C10orf10	0.019810277	0.003903205	0.017218633	1.755338632	0.927547331	0.004183809	0.316724699
C11orf96	0.058340781	0.011686818	0.016538446	3.609887413	0.522979106	0.011817304	1.984497794
C12orf75	0.246730249	0.483465148	0.213326035	0.311171371	0.085350083	0.029463989	0.302229304
C15orf48	4.430045969	0.053346089	0.089451135	0.156531239	0.169827026	0.082558716	4.014727524
C16orf89	0.028399107	0.010988326	0.025847026	0.321346032	0.011955054	0.016070042	3.952557945
C19orf33	0.068002877	0.031056093	0.034435937	0.132548646	0.105186223	0.028475757	4.063688538
C1QA	31.98394876	0.142735292	0.227228462	0.373903029	0.43311414	0.172354147	0.757649315
C1QB	30.01462128	0.123765269	0.187957615	0.247442971	0.369238197	0.137761105	0.677478923
C1QC	14.59478456	0.048211152	0.067524938	0.111370893	0.167970484	0.062909608	0.250403907
C1R	0.026078798	0.008331083	0.018476857	9.788410503	0.325000446	0.013154737	0.588468996
C1S	0.058413575	0.012386221	0.021019429	10.24144114	0.096984481	0.005231647	0.479215319
C1orf162	3.98741796	0.152827825	0.1204294	0.043558685	0.057249688	0.565655915	0.100022719
C1orf186	0.019487198	0.001467052	0.063516129	0.002795182	0.014136912	2.242636124	0.041787044
C3	0.34599739	0.021798978	0.036663737	5.095934055	0.025605478	0.01474001	2.956431952
C4BPA	0.02855138	0.010862749	0.018685836	0.016016003	0.023913636	0.008482159	3.103704716
C5AR1	1.22374449	0.005063493	0.006212463	0.024407412	0.018705818	0.010045958	0.04005449
C7	0.014749529	0.00541024	0.01145527	4.33785201	0.946386945	0.007297059	0.017822164
C8orf4	0.078540391	0.028413197	0.041163501	1.581294867	2.158660766	0.030062635	5.745553126
C9orf142	0.5032408	0.462810621	0.229738804	0.476681757	0.567663781	0.138086753	0.678834048
CALB2	0.003910612	0.000428023	0.000736797	0.277758461	0.000627106	0.52091806	0.01543743
CALCRL	0.012334805	0.000392592	0.0013571	0.014746432	2.101875151	0.000845552	0.005217884
CALD1	0.032328532	0.008217749	0.012732858	11.28157167	3.039367065	0.015996991	0.332046932
CAPG	8.242601915	0.331121648	0.427136814	0.343206928	0.217001296	3.021097946	1.188588863
CAV1	0.018836241	0.013321936	0.065661183	2.105238461	6.642227333	0.005492879	1.200216695
CAV2	0.011260811	0.004538428	0.015460291	0.630780686	1.431881027	0.009376219	1.165261672
CCDC50	0.503208052	0.076694296	0.501324362	0.452770203	0.996493239	0.037833087	0.212332162
CCDC80	0.024304821	0.010749041	0.01098515	7.353851342	0.189777238	0.007505987	0.272177589
CCDC85B	0.96531976	0.462147925	0.382930208	1.756326454	4.653313959	0.503358428	0.8084102
CCL18	33.69497079	0.208504665	0.304668746	0.433497119	0.66449933	0.366708986	0.901996431
CCL2	7.80636104	0.042461946	0.060335029	6.593127065	5.261981481	0.364458126	0.719128024
CCL20	3.519249162	0.192004116	0.046181593	0.053954805	0.034228284	0.02750726	0.732940059
CCL21	0.032458085	0.006260595	0.010887713	0.7981008	23.93645542	0.008791809	0.021444243
CCL3	16.30026782	0.428209604	0.41645454	0.260643878	0.144725441	0.092065236	0.352081575
CCL3L3	10.11104875	0.255863334	0.078368553	0.166208368	0.082247153	0.056446334	0.233826302
CCL4	9.982739241	2.898430142	0.399646173	0.227795273	0.204917671	0.285501678	0.530028926
CCL4L2	9.754109307	1.05327269	0.134946539	0.18764672	0.108193889	0.156277816	0.412932105
CCL5	0.715353132	6.478943318	0.38925131	0.249197699	0.193425107	0.129567785	0.307774516
CCND1	0.208320819	0.028807372	0.057782859	0.427884797	1.062367796	0.081121386	4.433401449
CCR7	0.47685854	0.34120086	0.688339802	0.020290034	0.011584928	0.027685225	0.035332794
CD14	4.377208263	0.017608272	0.023812234	0.206988097	0.226344539	0.043003782	0.078223906
CD163	1.658738885	0.008547802	0.009621607	0.005347753	0.017010754	0.015618097	0.030132796
CD1C	0.564092729	0.002984937	0.136233194	0.005646604	0.010973682	0.006294009	0.016530077
CD2	0.221717255	2.192681425	0.076521281	0.066052312	0.110413126	0.034922201	0.088521177
CD207	0.160430891	0.000474057	0.00092803	0.001921858	0	0.001141558	0.007204669
CD24	0.070831318	0.024698621	0.51680021	0.10229537	0.02431813	0.029233493	6.617058592
CD247	0.04453252	0.551477131	0.021707997	0.015904301	0.011595229	0.017891925	0.040383728
CD27	0.05737911	0.573500667	1.127436294	0.050246171	0.025255326	0.019040587	0.050872808
CD34	0.004152945	0.001180147	0.001194734	0.216654468	2.078221166	0.0007679	0.0033412
CD37	3.028395931	1.191064567	3.865242742	0.130883065	0.099430791	1.918481254	0.221021875
CD3D	0.267930997	3.185768623	0.110642785	0.112732799	0.059948318	0.054614577	0.17311295
CD3E	0.135827421	1.716223311	0.067941937	0.072925234	0.022569069	0.022477748	0.097647624
CD3G	0.074013644	0.896868949	0.033436518	0.024681553	0.0131255	0.01321691	0.03435242
CD44	4.696472344	1.300076461	1.099050538	1.340389167	0.118438895	2.649623297	2.603602918
CD48	1.172477341	1.288512346	1.960055497	0.074921421	0.145012646	0.531980774	0.129057043
CD52	8.10555205	5.089870025	4.306783079	0.321196423	0.324340223	2.811006677	0.580166561
CD55	0.901775987	0.229522708	0.783902703	0.452140558	0.647558344	0.316408995	5.001199575
CD59	2.362943478	0.186496625	0.435322136	3.22812338	5.380612777	0.554619159	3.951774066
CD6	0.075562063	0.451556583	0.044362547	0.019451632	0.01312919	0.009707178	0.041178569
CD63	15.80698253	0.840917221	1.407109824	17.19784717	6.375328881	8.451245443	16.93811092
CD68	11.45808306	0.046540724	0.128021066	0.346098382	0.158877395	0.439786061	0.249974843
CD69	0.505513429	1.555283972	1.731574571	0.090157972	0.058770601	6.288961229	0.206466055
CD7	0.119042754	1.529238318	0.069574393	0.055883124	0.041899218	0.065338548	0.330656028
CD74	111.8883865	3.439246356	26.76615948	3.443647547	19.67231163	1.560475208	32.32443723
CD79A	0.065866222	0.042337926	5.862809349	0.055895351	0.058542458	0.021305581	0.1017085
CD79B	0.039282784	0.11378729	1.189719017	0.023236547	0.225902716	0.088639296	0.020669056
CD82	0.34662889	0.261802809	0.389945199	1.198335564	0.243144485	0.920514252	0.597217251
CD83	4.129106895	0.156203794	2.470123076	0.219210175	0.216981893	1.2796931	0.553786882
CD8A	0.042424447	0.634460261	0.024692653	0.029514582	0.01975228	0.012408608	0.018650265
CD9	3.988088725	0.124031202	0.198504423	2.157174869	2.182252955	3.484266342	7.958196414
CD93	0.298667067	0.001822434	0.002845828	0.006865659	3.176457712	0.005264023	0.019075144
CD96	0.037214938	0.370078901	0.047101178	0.021388792	0.013829174	0.007456091	0.053994779
CD99	2.124188676	1.234786008	0.739104597	4.73878497	4.304186266	0.831976805	1.39997416
CDC42EP3	0.331131443	0.131844915	0.118578025	0.191019314	0.537190732	0.529083389	0.68998116
CDC42SE2	0.477504329	0.585016966	0.409522089	0.12541544	0.309884757	0.197072276	0.611048221
CDH1	0.027412453	0.006770486	0.01422322	0.017878096	0.001276045	0.003925431	1.647182792
CDH11	0.004678803	0.000664616	0.002044442	1.739734687	0.144416568	0.001141558	0.029862775
CDH5	0.002523977	0.00037479	0.001264835	0.006820963	1.45627044	0.0007679	0.005300881
CDKN2A	0.096835863	0.077345955	0.089315586	0.056080281	0.098155571	0.077572841	2.510613469
CEACAM5	0.010942989	0.007287607	0.007038997	0.028992688	0.000627106	0.006354966	1.298075167
CEACAM6	0.076609328	0.039811995	0.054581701	0.096929062	0.050537291	0.033869755	9.016976542
CEBPB	3.667719445	0.215051946	0.209623479	2.145978323	0.500294398	0.258958832	2.074996904
CEBPD	1.333282693	0.08397533	0.050816039	2.819662824	1.546811645	0.017617947	4.807502437
CFD	4.160144998	0.039108565	0.062107257	12.31726096	0.058613601	0.067975717	0.444854696
CFH	0.034978627	0.011814316	0.00634038	2.658150055	0.092548484	0.003005707	0.337547017
CHI3L1	0.437383924	0.013726963	0.015586783	0.592889091	0.015029609	0.008513222	1.715387381
CKB	0.634967103	0.015101466	0.052942357	0.64085945	0.074761846	0.023471745	2.165350244
CKLF	2.077592194	0.779227857	0.259167695	0.371599985	0.565285682	1.464045859	1.102455006
CLDN3	0.056888971	0.024232772	0.045360984	0.051559241	0.027454861	0.015088469	4.134132303
CLDN4	0.101929311	0.046324668	0.065505777	0.106393702	0.146793402	0.037001017	6.896860838
CLDN5	0.012892674	0.005013762	0.005005066	0.005866448	10.88313737	0.002350654	0.026864164
CLDN7	0.210714887	0.018480726	0.015346129	0.021388158	0.068462027	0.013455202	2.320887559
CLEC10A	0.866081008	0.00363973	0.002254282	0.016162025	0.027231207	0.009664085	0.011759034
CLEC11A	0.235108893	0.012274868	0.00987269	1.9389973	0.021877779	0.016423317	0.093325897
CLEC14A	0.005641915	0.001128793	0.001736508	0.030418242	5.214150443	0.000634164	0.007764124
CLEC2B	1.466586258	0.729336803	0.274276781	0.666869955	2.0289288	0.228506466	0.236986345
CLEC2D	0.12597354	0.730003045	0.27843533	0.08101029	0.053178719	0.034997514	0.149158224
CLEC7A	1.483729214	0.01613763	0.011282146	0.026477885	0.042679621	0.009589677	0.114453445
CLEC9A	0.076503643	0.000117287	6.85E-05	0.001153498	0.000627106	0	0.00366579
CLIC1	6.274294949	1.687274311	1.619243067	2.428452184	3.30976698	3.554819304	4.888887879
CLU	0.065620241	0.060553639	0.045217823	5.526133795	3.878909256	3.518247896	3.608545937
CMC1	0.448383108	0.354336188	0.100974229	0.219810288	0.29748062	0.133423941	0.603192004
CMTM6	1.589593906	0.247182918	0.599400882	0.466911613	0.555692982	0.49678101	0.776435219
CNIH1	0.692548355	0.238671358	0.205081305	0.767988808	0.531995161	0.643112727	0.901012911
CNN1	0.000834141	0.00030974	0.000259065	0.322089174	0	0.003224437	0.000745786
CNN3	0.02572152	0.012798867	0.038246324	2.490836783	1.807145177	0.012017915	1.394610188
CNOT6L	0.198527459	0.448139759	0.158654837	0.157188905	0.263059836	0.0538533	0.23994741
CNRIP1	0.112580068	0.00097733	0.001633291	0.404484201	0.364886753	0.55635023	0.007939042
COL13A1	0.006200194	0.001763548	0.000315627	0.162666386	0.024172561	0.073306406	0.04082988
COL14A1	0.003388584	0.000825646	0.002051394	0.924921538	0.001297877	0.0007679	0.009475017
COL1A1	0.061166689	0.02577666	0.041441433	44.34682115	0.017084216	0.025546997	2.058794362
COL1A2	0.047068497	0.015423406	0.024010861	34.67615797	0.021682499	0.014357721	0.11843528
COL3A1	0.038903478	0.013911926	0.020280356	29.34043708	0.058611671	0.015421225	0.080952092
COL4A1	0.006230304	0.002212179	0.002738823	1.777657118	4.89076359	0.000802794	0.014329774
COL4A2	0.012862941	0.001804296	0.002485963	1.609601985	3.226522949	0.002188047	0.041317264
COL5A1	0.007506974	0.003111838	0.002306739	2.293204621	0.041515287	0.002308621	0.067282142
COL5A2	0.005216954	0.002817606	0.004489837	2.101058731	0.113461737	0.002615365	0.011559472
COL6A1	0.081979058	0.006043682	0.01311277	5.005333702	0.177457981	0.004978554	0.399935385
COL6A2	0.085677451	0.013513024	0.021603653	8.714890184	0.53673683	0.01197146	0.511195148
COL6A3	0.013652316	0.012426475	0.006744945	7.377537458	0.014372067	0.006118103	0.027825991
COL8A1	0.005718725	0.003099109	0.002423924	2.313253774	0.046006816	0.005626283	0.190657572
CORO1A	1.861273109	2.592824453	1.993179554	0.127953307	0.103081834	0.30648187	0.275949316
CPA3	0.046794025	0.005945925	0.014212383	0.020709449	0.019147295	10.90184474	0.067765825
CPM	0.7732103	0.020086013	0.018888977	0.022095747	0.090789626	0.624658395	2.356602762
CPVL	1.54138704	0.005053419	0.016734869	0.154811571	0.082332087	0.008013449	0.050930166
CRABP2	0.047084307	0.01757752	0.028606021	0.429486262	0.013513109	0.012934225	1.851533202
CRBN	0.227456508	0.155304907	0.098956521	0.352272979	0.747480602	0.458775535	0.252325765
CREG1	2.356598397	0.036275201	0.068052358	0.766420653	0.278134481	0.165384551	0.616760915
CREM	2.098503018	3.004429392	1.007279009	0.441196972	0.604429226	2.245156342	0.522328242
CRIP2	0.080180782	0.045673727	0.03753541	1.519677516	4.258427046	0.016148335	2.566524005
CRISPLD2	0.013762862	0.004383251	0.002987236	1.32541816	0.000648939	0.006356815	0.023782067
CSF1	0.113412373	0.039035353	0.009128057	0.238003754	0.132604642	0.477268788	0.177314295
CSRP1	0.470511672	0.074930905	0.072010519	1.995930566	1.083012527	0.099072017	0.718802694
CST3	32.86963209	0.201285124	0.409671099	12.97812694	3.956754965	2.668745462	11.6374395
CST6	0.149616775	0.014265949	0.03117031	0.0559757	0.014732638	0.048315942	3.52065433
CST7	0.601374366	1.324083178	0.04985596	0.078180568	0.046515762	0.707945933	0.143416616
CSTA	2.7428229	0.011203468	0.014111057	0.400846367	0.110340995	0.009399275	0.082150332
CSTB	20.0532814	0.684136967	0.686637543	1.811818313	2.306419884	1.341346318	16.83773487
CTD-3252C9.4	0.228468246	0.143683695	0.205701142	0.194559885	0.284638327	0.590791548	0.267908554
CTGF	0.024182606	0.009813463	0.014521976	5.272521953	2.022113685	0.00387727	0.970643865
CTHRC1	0.013403959	0.006424414	0.047301028	5.676513191	0.408776555	0.006550259	0.224560801
CTNNAL1	0.041394585	0.020324873	0.026174987	0.306099821	3.512786724	0.007086068	0.198330822
CTNNBL1	0.314497237	0.090427313	0.118985395	0.237087638	0.215475209	0.544261541	0.209502946
CTSB	18.49708905	0.238523058	0.25975521	2.119654836	1.12582198	0.478607749	2.652273379
CTSC	7.234038204	0.624760454	0.206305141	2.510057109	0.330459428	0.382714067	1.908252477
CTSD	30.49771394	0.632220197	0.583217998	1.874991936	1.384129145	3.130193397	9.650438552
CTSG	0.018665617	0.002301739	0.004336577	0.012074132	0.003809992	2.967208321	0.019376781
CTSH	3.423809466	0.117945653	0.855341318	0.564707741	0.3791076	0.056574165	7.208716411
CTSK	0.692444237	0.006804841	0.007802597	2.61373175	0.009065739	0.01069676	0.074226753
CTSL	7.002414521	0.13222792	0.051235508	1.219383195	0.512187863	0.090705722	0.443996817
CTSS	8.669405316	0.318857588	0.976470039	0.456512861	0.499848756	0.284464832	1.276277654
CTSW	0.096575119	0.707241233	0.072300167	0.018943139	0.017727481	0.254449898	0.047074949
CTSZ	9.032839143	0.09628948	0.332102915	0.931121233	0.77738493	0.108431243	1.435644308
CXCL12	0.058579284	0.00171497	0.002306764	1.510436458	0.237290629	0.000913356	0.039534338
CXCL16	2.791859681	0.027163036	0.05931945	0.190706072	0.088847367	0.400252295	0.821495552
CXCL17	0.076514378	0.035312319	0.058589723	0.095284824	0.046655469	0.034871615	8.367402849
CXCL2	6.221843481	0.05953823	0.085021684	1.382525954	2.776864776	0.11516209	8.422512174
CXCL3	6.815849343	0.032697537	0.062300143	0.35818682	0.467268004	0.047345746	0.990289361
CXCL8	16.6406897	0.078532936	0.128364747	0.490178501	0.480830085	0.17257951	3.39711344
CXCR4	2.536848491	6.50424992	6.363593194	0.453339658	1.452374938	0.229401662	0.55415728
CXorf36	0.002695741	0.000656896	0.000693851	0.000722593	1.338452217	0.000211388	0.002916505
CYB5A	1.05403196	0.145300899	0.213348069	1.025227597	1.339065759	0.171148967	12.83604471
CYBA	18.47662153	2.608637546	6.435748403	2.882653489	1.627952721	2.223274302	3.964419683
CYBB	2.143807384	0.007686239	0.105269182	0.023378087	0.03701643	0.010229628	0.045918355
CYP1B1	0.229701882	0.004389819	0.011371916	2.021936378	0.41052987	0.009969522	1.354162758
CYR61	0.04371078	0.020195498	0.034126121	5.730588796	1.496578931	0.022627122	2.580860369
CYTIP	0.81552195	1.114845172	1.532606398	0.058585151	0.111081916	0.041545623	0.109270163
CYYR1	0.008397882	0.000543469	0.000325267	0.011206179	1.277298351	0.000323428	0.001271204
DAB2	2.159713822	0.011525594	0.009818614	0.940116497	0.673939295	0.053064375	0.587876435
DCN	0.103188158	0.03367844	0.061766227	41.90125296	0.060216779	0.031718855	0.169504868
DDAH2	1.144336362	0.072887769	0.258862954	1.40549999	1.019953129	0.69549902	0.800175361
DDIT4	0.567837503	1.219363083	0.444884347	0.662448328	1.03522884	3.346515358	0.904384383
DDX24	0.848176956	0.826965535	0.527627433	0.94620957	0.803182316	0.571405032	1.411484988
DERL3	0.055442579	0.010553029	2.122941885	0.188593497	0.026005468	0.014925006	0.066918389
DHCR24	0.136504416	0.012624613	0.023426983	0.049130379	0.049824406	0.013853361	3.425023877
DKK3	0.005890075	0.011294821	0.00356061	2.185348851	0.215498358	0.002023958	0.048528121
DMKN	0.023168102	0.013555843	0.032321669	0.155567319	0.01809781	0.032937451	1.567882422
DNAJB1	2.266135327	1.484452432	0.725270359	3.608438464	1.464301609	0.446520084	3.237235073
DNAJB9	0.423829503	0.261322041	0.855851686	0.634781673	0.395987872	0.775318802	0.606870787
DNASE1L3	0.075217906	0.000731559	0.008410005	0.002481273	0.893305866	0.000979288	0.006065642
DPT	0.007336437	0.002134593	0.004584282	2.31533682	0.001668565	0.001093789	0.009598813
DRAM2	1.032698992	0.110272997	0.525700737	0.366271791	0.266102931	0.143298475	0.516014885
DSTN	1.225044351	0.331865815	0.345148513	4.985079391	2.791565028	0.59717557	8.068925679
DUSP1	8.770275916	2.225046822	2.957726595	9.998078049	5.883862577	5.154858672	8.532873889
DUSP10	0.233665541	0.205924243	0.171422383	0.152248767	0.049930387	0.756785507	0.379863434
DUSP2	2.25110154	1.7446593	0.974868307	0.302536587	0.132320047	0.642355832	0.307165231
DUSP4	0.579567456	1.208949214	0.367810021	0.098662635	0.245811272	0.097154933	0.213325887
DUSP6	0.450554725	0.04303622	0.040840588	0.338600631	1.374025897	1.296222692	2.624502392
DYNLL1	4.676808501	0.878923275	0.930257063	4.95776646	4.129993278	2.084984066	5.324906854
ECSCR	0.111363162	0.003090915	0.003530864	0.005323456	3.871015214	0.001346771	0.006442205
EEF1A1	59.85284206	29.43538198	44.59519515	69.98568024	52.37473687	35.61752514	87.57869889
EEF1B2	6.86064141	3.151065155	7.261987182	6.475088556	5.305804217	3.118143076	9.56633744
EEF2	4.283881652	2.363926607	4.66904745	8.528885761	5.337140748	1.947429588	7.653190431
EFEMP1	0.016653451	0.006521868	0.007070886	1.5823396	1.339316903	0.008233458	0.559369771
EFEMP2	0.015158802	0.004218288	0.005692612	2.061452973	0.281512372	0.010670975	0.11659481
EFNA1	0.023030307	0.011136228	0.027050744	0.070089997	1.107123791	0.006381866	1.827214303
EFNB2	0.010454643	0.004212206	0.001911697	0.050003287	1.115981898	0.018337819	0.332993458
EGFL7	0.06230264	0.006145992	0.00449892	0.107488038	5.013536589	0.146546154	0.432801386
EGR1	2.096609935	0.115104209	0.496980307	8.272029877	3.09828374	0.958936089	7.827760921
EIF1B	0.930449777	0.313894808	0.592855447	0.973235141	0.765508471	0.557143147	0.818995649
EIF3E	2.88492504	1.360737655	2.05095092	4.233789312	2.844111249	2.556407822	4.096362573
ELF1	0.921737454	0.883858637	0.759086262	0.296530659	0.508942252	1.277463898	0.588765729
ELF3	0.127891252	0.05677287	0.081566203	0.134649987	0.074575953	0.048351356	11.34593399
ELL2	0.440126772	0.055635187	0.211268096	0.152839736	0.067277198	0.542563625	0.480269942
ELN	0.005413717	0.001046287	0.003038556	2.098484595	0.24585596	0.001302717	0.031667198
EMB	0.237392635	0.373635723	0.259659653	0.067137804	0.039468422	0.02637183	0.617982778
EMCN	0.001695255	0.00049058	0.000827389	0.002492399	1.747601926	0.000591406	0.001157975
EMILIN1	0.023615633	0.002791069	0.002318671	2.358829195	0.081116034	0.014925537	0.01298914
EML4	0.933992254	0.698872992	0.367325199	0.363911396	0.295338165	0.108589164	0.872858678
EMP1	0.49985438	0.020880702	0.031296219	1.689579865	2.466558302	0.02056262	1.068098313
EMP2	0.123533126	0.01599298	0.014610965	1.2741082	1.619488057	0.00881369	3.913820309
